,LIFNR,MAT1,MAT2,MAT3,SP_KUNNR,MATNR,istrainset
0,605000000000.0,639660149.0,9542DSBL500,78731883230.0,101485,9542DL500B8,0
1,162920.0,709469.0,56650/01,7331056650.0,104254,42818,0
